User Email,First Name,Last Name,User Name,Country Code,Msisdn
vveddrify@emailcmv,elsi,ahmadieh,vveddrify@email.cmv,444,788565
verified@account.com,elsi,ahmadieh,verified@account.com,961,788565
unverified@account.com,elsi,ahmadieh,unverified@account.com,961,788565
forgothusain@monty.net,test,test,forgothusain@monty.net,86,532136121
huss.daou@montymobile.com,husain333,daoud,huss.daou@montymobile.com,86,85565532
registertrdude@dsgmail.com,elsi,ahmadieh,registertrdude@dsgmail.com,961,760000
elsi@sunverify.gofv,elsi,ahmadieh,elsi@sunverify.gofv,961,7111111
notif@notif.com,test4444,test,notif@notif.com,86,532134212
redeesm@invalidweb.com,redeem,invalid,redeesm@invalidweb.com,961,788565
redeemm@differentt.com,redeem,different,redeemm@differentt.com,961,788565
verifyy@nulllpin.como,elsi,ahmadieh,verifyy@nulllpin.como,111,788565
verify@wrongpinn.conn,elsi,ahmadieh,verify@wrongpinn.conn,123,788565
verif@verifyd.coy,elsi,ahmadieh,verif@verifyd.coy,123,788565
regissdetertrdssqsude@gmail.com,elsi,ahmadieh,regissdetertrdssqsude@gmail.com,961,760000
regissdetertrdsssude@gmail.com,elsi,ahmadieh,regissdetertrdsssude@gmail.com,961,760000
registhh@dddelsi.com,elsi,ahmadieh,registhh@dddelsi.com,961,711111
regstr@userccnew.co,elsi,ahmadieh,regstr@userccnew.co,961,760000
register@invalissdpinuser.com,xxxxx,ajhjkkkk,register@invalissdpinuser.com,961,769586
registertrdude@gmail.com,elsi,ahmadieh,registertrdude@gmail.com,961,760000
registertrdue@gmail.com,elsi,ahmadieh,registertrdue@gmail.com,961,760000
registertrue@gmail.com,elsi,ahmadieh,registertrue@gmail.com,961,760000
register@longmsisdn.com,long,msisdn,register@longmsisdn.com,961,1.23457E+
huss.daoud@montymobile.com,husain,daoud,huss.daoud@montymobile.com,86,85565532
forget@true.com,elsi,ahmadieh,forget@true.com,961,788565
elsi@unvrify.gofv,elsi,ahmadieh,elsi@unvrify.gofv,961,7111111
yaman.awad@montymobil3jj.com,yaman,awad,96176819909,961,768199
daoud.daoud@montymobile.com,husain,daoud,daoud.daoud@montymobile.com,961,768199
daoud@daoud.com,Adam,Mawla,daoud@daoud.com,961,769586
redeem@differentt.com,redeem,different,redeem@differentt.com,961,788565
redeem@different.com,redeem,different,redeem@different.com,961,788565
redeem@invalidweb.com,redeem,invalid,redeem@invalidweb.com,961,788565
hsen.daoud@gmial.co,ividgibs,dgibibs,hsen.daoud@gmial.co,961,30303
edit@user.info,elsi,ahmadieh,edit@user.info,961,788565
elsi@redemshort.com,elsi,ahmadieh,elsi@redemshort.com,961,788565
yaman.awad@montyholding.com,yaman,awad,yaman.awad@montyholding.com,961,768199
ad@monty.com,test,test,ad@monty.com,961,713540
hsen.daoud@gmial.com,ividgibs,dgibibs,hsen.daoud@gmial.com,961,30303
hzih@mpnty.com,vxrig,gzigs,hzih@mpnty.com,961,30303
qa@husain.com,husain,daoud,qa@husain.com,961,30303
hdueu@monty.com,hdhdh,fhv,hdueu@monty.com,961,30303
vverify@email.cmv,elsi,ahmadieh,vverify@email.cmv,444,788565
husain.da@gmail.com,husain,daoud,husain.da@gmail.com,86,85565532
register@web.cont,elsi,ahmadieh,register@web.cont,961,788565
register@web.con,elsi,ahmadieh,register@web.con,961,788565
raine@montymobile.com,elsi,test,raine@montymobile.com,961,788565
register@web.com,elsi,ahmadieh,register@web.com,961,788565
buy@uae.com,husain,daoud,buy@uae.com,86,532131212
overall@nuser.edits,overall,user,overall@nuser.edits,999,788565
overall@user.edits,overall,user,overall@user.edits,999,788565
overal@redeem.com,elsii,ahmadieh,overal@redeem.com,777,788565
vverify@email.cm,elsi,ahmadieh,vverify@email.cm,444,788565
elsi@redeemshort.com,elsi,ahmadieh,elsi@redeemshort.com,961,788565
redeem@used.com,elsi,ahmadieh,redeem@used.com,961,788565
delete@husainaccount.com,test,test,delete@husainaccount.com,86,532131242
husain.da@hotmail.com,husain,daoud,husain.da@hotmail.com,86,85565532
husain.da@montymobile.com,husain,daoud,husain.da@montymobile.com,86,85565532
hus.da@montymobile.com,husain,daoud,hus.da@montymobile.com,86,85565532
changepass@montyclub.com,test,testyt,changepass@montyclub.com,86,532123351
testfor@m.com,test,test,testfor@m.com,86,532123365
hus.da@montym.co,husain,daoud,hus.da@montym.co,86,85565532
un@unverified.com,test,test,un@unverified.com,86,532134512
amin.haddaddd@montymobile.com,elsi,ahmadieh,amin.haddaddd@montymobile.com,961,788565
login@true.com,elsi,ahmadieh,login@true.com,961,788565
verify@nulllpin.como,elsi,ahmadieh,verify@nulllpin.como,111,788565
verify@nulpin.como,elsi,ahmadieh,verify@nulpin.como,111,788565
verify@wrongpinn.cod,elsi,ahmadieh,verify@wrongpinn.cod,123,788565
verify@afterlimitrea.cox,elsi,ahmadieh,verify@afterlimitrea.cox,4125,788565
verify@verifyd.coy,elsi,ahmadieh,verify@verifyd.coy,123,788565
elsi@unvrify.gov,elsi,ahmadieh,elsi@unvrify.gov,961,7111111
elsi@unvrif.gov,elsi,ahmadieh,elsi@unvrif.gov,961,7111111
elsi@unvrif.govn,elsi,ahmadieh,elsi@unvrif.govn,961,788565
husain.ttest@monty.com,test,test,husain.ttest@monty.com,86,56461512
